Date	TW_I	TW_O	O2	TEMP_IN_Z1	TEMP_IN_Z2	TEMP_IN_Z3	TEMP_IN_Z4
00:20:02 05-03-2018	127.64128112793	133.217483520508	15.2728004455566	138	0	0	0
00:20:17 05-03-2018	127.861038208008	133.327362060547	15.326000213623	139	0	0	0
00:20:32 05-03-2018	127.970901489258	133.354827880859	15.4703998565674	139	0	0	0
00:20:47 05-03-2018	128.080780029297	133.382293701172	15.5692005157471	139	0	0	0
00:21:02 05-03-2018	128.135726928711	133.547119140625	15.5881996154785	139	0	0	0
00:21:17 05-03-2018	128.108245849609	133.574584960938	15.5995998382568	139	0	0	0
00:21:32 05-03-2018	128.218124389648	133.629516601563	15.6072006225586	139	0	0	0
00:21:47 05-03-2018	128.410415649414	133.794342041016	15.6338005065918	139	0	0	0
00:22:02 05-03-2018	128.328002929688	133.327362060547	15.6756000518799	139	0	0	0
00:22:17 05-03-2018	128.35546875	133.162551879883	15.6907997131348	139	0	0	0
00:22:32 05-03-2018	128.382949829102	133.107604980469	15.717399597168	139	0	0	0
00:22:47 05-03-2018	128.520294189453	133.13508605957	15.7326011657715	139	0	0	0
00:23:02 05-03-2018	128.520294189453	133.162551879883	15.7553997039795	138	0	0	0
00:23:17 05-03-2018	128.657638549805	133.217483520508	15.770601272583	138	0	0	0
00:23:32 05-03-2018	128.740036010742	133.217483520508	15.793399810791	138	0	0	0
00:23:47 05-03-2018	128.740036010742	133.217483520508	15.793399810791	138	0	0	0
00:24:02 05-03-2018	128.794982910156	133.272430419922	15.8048000335693	139	0	0	0
00:24:17 05-03-2018	128.877380371094	133.327362060547	15.8352012634277	138	0	0	0
00:24:32 05-03-2018	129.152069091797	133.547119140625	15.8199996948242	139	0	0	0
00:24:47 05-03-2018	129.152069091797	133.574584960938	15.827600479126	139	0	0	0
00:25:02 05-03-2018	128.904846191406	133.299896240234	15.8618011474609	139	0	0	0
00:25:17 05-03-2018	129.207015991211	133.574584960938	15.8808002471924	138	0	0	0
00:25:32 05-03-2018	129.261947631836	133.656997680664	15.9074001312256	138	0	0	0
00:25:47 05-03-2018	129.261947631836	133.547119140625	15.8808002471924	139	0	0	0
00:26:02 05-03-2018	129.261947631836	133.629516601563	15.9150009155273	139	0	0	0
00:26:17 05-03-2018	129.344360351563	133.656997680664	15.9188003540039	139	0	0	0
00:26:32 05-03-2018	129.399291992188	133.60205078125	15.9302005767822	139	0	0	0
00:26:47 05-03-2018	129.481704711914	133.794342041016	15.9302005767822	139	0	0	0
00:27:02 05-03-2018	129.481704711914	133.629516601563	15.9454002380371	139	0	0	0
00:27:17 05-03-2018	129.564102172852	133.711929321289	15.9264011383057	139	0	0	0
00:27:32 05-03-2018	129.564102172852	133.821807861328	15.9340000152588	139	0	0	0
00:27:47 05-03-2018	129.619049072266	133.821807861328	15.9340000152588	139	0	0	0
00:28:02 05-03-2018	129.756393432617	133.986618041992	15.9188003540039	139	0	0	0
00:28:17 05-03-2018	129.756393432617	133.931686401367	15.9264011383057	139	0	0	0
00:28:32 05-03-2018	129.701461791992	133.849273681641	15.9111995697021	139	0	0	0
00:28:47 05-03-2018	129.756393432617	133.931686401367	15.9074001312256	139	0	0	0
00:29:02 05-03-2018	129.619049072266	133.739395141602	15.903600692749	139	0	0	0
00:29:17 05-03-2018	129.893737792969	133.986618041992	15.8998012542725	139	0	0	0
00:29:32 05-03-2018	129.893737792969	133.876739501953	15.8922004699707	139	0	0	0
00:29:47 05-03-2018	129.921203613281	134.041549682617	15.8808002471924	139	0	0	0
00:30:02 05-03-2018	129.893737792969	133.931686401367	15.8808002471924	139	0	0	0
00:30:17 05-03-2018	129.948669433594	134.069030761719	15.8694000244141	139	0	0	0
00:30:32 05-03-2018	130.003616333008	134.151428222656	15.8731994628906	139	0	0	0
00:30:47 05-03-2018	130.03108215332	134.096496582031	15.8579998016357	139	0	0	0
00:31:02 05-03-2018	130.113494873047	134.178894042969	15.8542003631592	139	0	0	0
00:31:17 05-03-2018	130.113494873047	134.316253662109	15.8579998016357	139	0	0	0
00:31:32 05-03-2018	130.113494873047	134.123962402344	15.8579998016357	139	0	0	0
00:31:47 05-03-2018	130.195892333984	133.60205078125	15.2690010070801	0	136	0	0
00:32:02 05-03-2018	130.168426513672	130.607925415039	12.3087997436523	0	133	0	0
00:32:17 05-03-2018	130.195892333984	129.701461791992	7.76020050048828	0	131	0	0
00:32:32 05-03-2018	130.250839233398	129.399291992188	5.3129997253418	0	130	0	0
00:32:47 05-03-2018	130.278305053711	129.454238891602	4.37820053100586	0	130	0	0
00:33:02 05-03-2018	130.580459594727	129.701461791992	4.08180046081543	0	129	0	0
00:33:17 05-03-2018	130.443115234375	129.564102172852	3.98299980163574	0	129	0	0
00:33:32 05-03-2018	130.38818359375	129.591583251953	4.10080051422119	0	129	0	0
00:33:47 05-03-2018	130.415649414063	129.701461791992	4.32880020141602	0	129	0	0
00:34:02 05-03-2018	130.580459594727	129.838806152344	4.617600440979	0	129	0	0
00:34:17 05-03-2018	130.305770874023	129.893737792969	4.95580005645752	0	129	0	0
00:34:32 05-03-2018	130.580459594727	130.003616333008	5.328200340271	0	129	0	0
00:34:47 05-03-2018	130.745269775391	130.250839233398	5.66260051727295	0	129	0	0
00:35:02 05-03-2018	130.443115234375	130.003616333008	6.08820056915283	0	129	0	0
00:35:17 05-03-2018	130.443115234375	130.03108215332	6.49100017547607	0	129	0	0
00:35:32 05-03-2018	130.525527954102	130.195892333984	6.8976001739502	0	129	0	0
00:35:47 05-03-2018	130.580459594727	130.38818359375	7.27379989624023	0	129	0	0
00:36:02 05-03-2018	130.470581054688	130.415649414063	7.69180011749268	0	130	0	0
00:36:17 05-03-2018	130.086013793945	130.223358154297	8.06420040130615	0	130	0	0
00:36:32 05-03-2018	129.921203613281	130.168426513672	8.45180034637451	0	130	0	0
00:36:47 05-03-2018	129.948669433594	130.250839233398	8.75580024719238	0	130	0	0
00:37:02 05-03-2018	129.921203613281	130.38818359375	9.21180057525635	0	130	0	0
00:37:17 05-03-2018	129.673980712891	130.305770874023	9.56900024414063	0	130	0	0
00:37:32 05-03-2018	129.536636352539	130.223358154297	9.81220054626465	0	130	0	0
00:37:47 05-03-2018	129.536636352539	130.223358154297	10.1124000549316	0	130	0	0
00:38:02 05-03-2018	129.481704711914	130.223358154297	10.4391994476318	0	130	0	0
00:38:17 05-03-2018	129.454238891602	130.305770874023	10.5836009979248	0	130	0	0
00:38:32 05-03-2018	129.454238891602	130.360717773438	10.7888011932373	0	131	0	0
00:38:47 05-03-2018	128.987258911133	130.223358154297	11.0396003723145	0	130	0	0
00:39:02 05-03-2018	128.767501831055	130.113494873047	11.2144012451172	0	131	0	0
00:39:17 05-03-2018	128.630157470703	130.140960693359	11.4195995330811	0	131	0	0
00:39:32 05-03-2018	128.547760009766	130.195892333984	11.5601997375488	0	131	0	0
00:39:47 05-03-2018	128.273071289063	130.003616333008	11.8110008239746	0	131	0	0
00:40:02 05-03-2018	127.806091308594	129.921203613281	11.8717994689941	0	131	0	0
00:40:17 05-03-2018	128.025848388672	130.113494873047	11.9554004669189	0	131	0	0
00:40:32 05-03-2018	127.806091308594	129.78385925293	12.0466003417969	0	131	0	0
00:40:47 05-03-2018	127.421524047852	129.756393432617	12.274600982666	0	131	0	0
00:41:02 05-03-2018	127.394058227539	129.673980712891	12.3467998504639	0	131	0	0
00:41:17 05-03-2018	127.174301147461	129.646514892578	12.4304008483887	0	132	0	0
00:41:32 05-03-2018	127.036956787109	129.619049072266	12.5862007141113	0	131	0	0
00:41:47 05-03-2018	126.679870605469	129.31689453125	12.5862007141113	0	131	0	0
00:42:02 05-03-2018	126.81721496582	129.591583251953	12.6280002593994	0	132	0	0
00:42:17 05-03-2018	126.734802246094	129.591583251953	12.6812000274658	0	132	0	0
00:42:32 05-03-2018	126.432647705078	129.289413452148	12.8218002319336	0	132	0	0
00:42:47 05-03-2018	126.487579345703	129.509170532227	12.8864002227783	0	132	0	0
00:43:02 05-03-2018	126.515045166016	129.591583251953	12.9167995452881	0	132	0	0
00:43:17 05-03-2018	126.240356445313	129.454238891602	12.9320011138916	0	132	0	0
00:43:32 05-03-2018	126.157958984375	129.371826171875	12.9813995361328	0	132	0	0
00:43:47 05-03-2018	126.212890625	129.4267578125	13.0916004180908	0	132	0	0
00:44:02 05-03-2018	125.938201904297	129.371826171875	13.1296005249023	0	132	0	0
00:44:17 05-03-2018	125.718444824219	129.207015991211	13.1790008544922	0	132	0	0
00:44:32 05-03-2018	125.718444824219	129.399291992188	13.2777996063232	0	132	0	0
00:44:47 05-03-2018	125.690979003906	129.371826171875	13.3234004974365	0	132	0	0
00:45:02 05-03-2018	125.60856628418	129.454238891602	13.2968006134033	0	133	0	0
00:45:17 05-03-2018	125.361358642578	129.152069091797	13.3576011657715	0	133	0	0
00:45:32 05-03-2018	125.388824462891	129.399291992188	13.3842010498047	0	133	0	0
00:45:47 05-03-2018	125.306411743164	129.261947631836	13.4412002563477	0	133	0	0
00:46:02 05-03-2018	125.196533203125	129.289413452148	13.4754009246826	0	133	0	0
00:46:17 05-03-2018	125.086654663086	129.31689453125	13.5134010314941	0	133	0	0
00:46:32 05-03-2018	124.866912841797	129.261947631836	13.5514011383057	0	133	0	0
00:46:47 05-03-2018	124.78450012207	129.069671630859	13.6312007904053	0	133	0	0
00:47:02 05-03-2018	124.894378662109	129.234481811523	13.7033996582031	0	133	0	0
00:47:17 05-03-2018	124.839447021484	129.234481811523	13.7793998718262	0	133	0	0
00:47:32 05-03-2018	124.757034301758	129.234481811523	13.8098011016846	0	133	0	0
00:47:47 05-03-2018	124.482345581055	129.097137451172	13.8250007629395	0	133	0	0
00:48:02 05-03-2018	124.702102661133	129.31689453125	13.8211994171143	0	133	0	0
00:48:17 05-03-2018	124.592224121094	129.234481811523	13.7984008789063	0	134	0	0
00:48:32 05-03-2018	124.482345581055	129.234481811523	13.8059997558594	0	133	0	0
00:48:47 05-03-2018	124.427398681641	129.179550170898	13.828800201416	0	134	0	0
00:49:02 05-03-2018	124.399932861328	129.289413452148	13.8591995239258	0	134	0	0
00:49:17 05-03-2018	124.399932861328	129.4267578125	13.8782005310059	0	133	0	0
00:49:32 05-03-2018	124.180191040039	129.179550170898	13.8934001922607	0	134	0	0
